,0
0,SCLC0001-7_NA_H3K4me3-39_26032021-13
1,SCLC0002-434_NA_H3K4me3-39_26032021-13
2,SCLC0006-348_NA_H3K4me3-38_26032021-13
3,SCLC0006-464_NA_H3K4me3-39_26032021-13
4,SCLC0006-661_NA_H3K4me3-39_26032021-13
5,SCLC0007-54_NA_H3K4me3-39_26032021-13
6,SCLC0010-1553_NA_H3K4me3-L_21062020-L
7,SCLC0010-774_NA_H3K4me3-38_26032021-13
8,SCLC0013-145_NA_H3K4me3-38_26032021-13
9,SCLC0014-131_NA_H3K4me3-38_26032021-13
10,SCLC0014-579_NA_H3K4me3-38_26032021-13
11,SCLC0018-219_NA_H3K4me3-38_26032021-13
12,SCLC0019-235_NA_H3K4me3-38_26032021-13
13,SCLC0019-247_NA_H3K4me3-38_26032021-13
14,SCLC0020-299_NA_H3K4me3-39_26032021-13
15,SCLC0022-488_NA_H3K4me3-39_26032021-13
16,SCLC0023-355_NA_H3K4me3-38_26032021-13
17,SCLC0024-293_NA_H3K4me3-39_26032021-13
18,SCLC0025-457_NA_H3K4me3-38_26032021-13
19,SCLC0026-363_NA_H3K4me3-38_26032021-13
20,SCLC0026-520_NA_H3K4me3-38_26032021-13
21,SCLC0029-399_NA_H3K4me3-39_26032021-13
22,SCLC0030-435_NA_H3K4me3-39_26032021-13
23,SCLC0031-445_NA_H3K4me3-39_26032021-13
24,SCLC0033-489_NA_H3K4me3-39_26032021-13
25,SCLC0034-462_NA_H3K4me3-39_26032021-13
26,SCLC0034-512_NA_H3K4me3-38_26032021-13
27,SCLC0035-466_NA_H3K4me3-39_26032021-13
28,SCLC0035-586_NA_H3K4me3-39_26032021-13
29,SCLC0035-653_NA_H3K4me3-38_26032021-13
30,SCLC0037-521_NA_H3K4me3-39_26032021-13
31,SCLC0039-499_NA_H3K4me3-39_26032021-13
32,SCLC0040-501_NA_H3K4me3-39_26032021-13
33,SCLC0041-509_NA_H3K4me3-38_26032021-13
34,SCLC0042-528_NA_H3K4me3-39_26032021-13
35,SCLC0043-518_NA_H3K4me3-38_26032021-13
36,SCLC0044-538_NA_H3K4me3-38_26032021-13
37,SCLC0047-571_NA_H3K4me3-38_26032021-13
38,SCLC0048-573_NA_H3K4me3-38_26032021-13
39,SCLC0049-585_NA_H3K4me3-39_26032021-13
40,SCLC0050-605_NA_H3K4me3-38_26032021-13
41,SCLC0051-612_NA_H3K4me3-39_26032021-13
42,SCLC0056-655_NA_H3K4me3-39_26032021-13
43,SCLC0057-676_NA_H3K4me3-38_26032021-13
44,SCLC0058-720_NA_H3K4me3-39_26032021-13
45,SCLC0059-681_NA_H3K4me3-39_26032021-13
46,SCLC0059-723_NA_H3K4me3-39_26032021-13
47,SCLC0059-764_NA_H3K4me3-39_26032021-13
48,SCLC0061-696_NA_H3K4me3-39_26032021-13
49,SCLC0061-777_NA_H3K4me3-39_26032021-13
50,SCLC0062-688_NA_H3K4me3-38_26032021-13
51,SCLC0062-725_NA_H3K4me3-38_26032021-13
52,SCLC0062-778_NA_H3K4me3-39_26032021-13
53,SCLC0063-699_NA_H3K4me3-38_26032021-13
54,SCLC0066-729_NA_H3K4me3-39_26032021-13
55,SCLC0066-750_NA_H3K4me3-38_26032021-13
56,SCLC0108-435_NA_H3K4me3-L_21062020-L
57,SCLC0109-897_NA_H3K4me3-L_21062020-L
58,SCLC0111-539_NA_H3K4me3-L_21062020-L
59,SCLC0114-351_NA_H3K4me3-L_21062020-L
60,SCLC0125-1436_NA_H3K4me3-L_21062020-L
61,SCLC0126-1441_NA_H3K4me3-L_21062020-L
62,SCLC0126-223_NA_H3K4me3-38_26032021-13
63,SCLC0126-45_NA_H3K4me3-39_26032021-13
64,SCLC0146-1504_NA_H3K4me3-L_21062020-L
65,SCLC0147-1529_NA_H3K4me3-L_21062020-L
66,SCLC0147-5_NA_H3K4me3-38_26032021-13
67,SCLC0150-669_NA_H3K4me3-39_26032021-13
68,SCLC0169-222_NA_H3K4me3-38_26032021-13
69,SCLC0169-74_NA_H3K4me3-39_26032021-13
70,SCLC0174-402_NA_H3K4me3-39_26032021-13
71,SCLC0176-178_NA_H3K4me3-39_26032021-13
72,SCLC0180-112_NA_H3K4me3-39_26032021-13
73,SCLC0196-1722_NA_H3K4me3-L_21062020-L
74,SCLC0196-711_NA_H3K4me3-38_26032021-13
75,SCLC0214-275_NA_H3K4me3-39_26032021-13
76,SCLC0244-387_NA_H3K4me3-38_26032021-13
77,SCLC0261-450_NA_H3K4me3-38_26032021-13
78,SCLC0402-174_NA_H3K4me3-39_26032021-13
79,SCLC0422-38_NA_H3K4me3-38_26032021-13
80,SCLC0422-8_NA_H3K4me3-39_26032021-13
81,CRC0001-2752_NA_H3K4me3-L_03092018-L
82,CRC0002-2301_NA_H3K4me3-L_17122019-L
83,CRC0002-2302_NA_H3K4me3-L_17122019-L
84,CRC0003-2737_NA_H3K4me3-L_17122019-L
85,CRC0003-2740_NA_H3K4me3-L_26082018-L
86,CRC0004-2751_NA_H3K4me3-L_03092018-L
87,CRC0004-3990_NA_H3K4me3-L_19022020-L
88,CRC0005-2865_NA_H3K4me3-L_28112019-L
89,CRC0005-2944_NA_H3K4me3-L_03122018-L
90,CRC0005-3110_NA_H3K4me3-L_09022019-L
91,CRC0005-3251_NA_H3K4me3-L_06052019-L
92,CRC0006-3135_NA_H3K4me3-L_27022019-L
93,CRC0006-4462_NA_H3K4me3-L_05102020-L
94,CRC0006-4620_NA_H3K4me3-L_11102020-L
95,CRC0006-4679_NA_H3K4me3-L_05102020-L
96,CRC0009-1995_NA_H3K4me3-L_17122019-L
97,CRC0009-1996_NA_H3K4me3-L_17122019-L
98,CRC0009-1997_NA_H3K4me3-L_17122019-L
99,CRC0009-2001_NA_H3K4me3-L_17122019-L
100,CRC0010-1913_NA_H3K4me3-L_17122019-L
101,CRC0010-1954_NA_H3K4me3-L_17122019-L
102,CRC0010-3743_NA_H3K4me3-L_28112019-L
103,CRC0010-3821_NA_H3K4me3-L_17122019-L
104,CRC0010-3864_NA_H3K4me3-L_17022020-L
105,CRC0010-3937_NA_H3K4me3-L_19022020-L
106,CRC0011-2010_NA_H3K4me3-L_28112019-L
107,CRC0012-3802_NA_H3K4me3-L_17122019-L
108,CRC0013-2572_NA_H3K4me3-L_17122019-L
109,CRC0015-3875_NA_H3K4me3-L_17022020-L
110,CRC0018-3881_NA_H3K4me3-L_19022020-L
