,0
0,CRC0001-2752_NA_H3K4me3-L_03092018-L
1,SCLC0147-5_NA_H3K4me3-38_26032021-13
2,SCLC0063-699_NA_H3K4me3-38_26032021-13
3,SCLC0196-711_NA_H3K4me3-38_26032021-13
4,SCLC0261-450_NA_H3K4me3-38_26032021-13
5,CRC0053-3882_NA_H3K4me3-L_19022020-L
6,SCLC0039-499_NA_H3K4me3-39_26032021-13
7,CRC0009-1996_NA_H3K4me3-L_17122019-L
8,SCLC0180-112_NA_H3K4me3-39_26032021-13
9,SCLC0059-723_NA_H3K4me3-39_26032021-13
10,SCLC0006-464_NA_H3K4me3-39_26032021-13
11,CRC0041-3870_NA_H3K4me3-L_17022020-L
12,SCLC0176-178_NA_H3K4me3-39_26032021-13
13,SCLC0041-509_NA_H3K4me3-38_26032021-13
14,SCLC0049-585_NA_H3K4me3-39_26032021-13
15,SCLC0050-605_NA_H3K4me3-38_26032021-13
16,SCLC0031-445_NA_H3K4me3-39_26032021-13
17,CRC0010-1913_NA_H3K4me3-L_17122019-L
18,SCLC0025-457_NA_H3K4me3-38_26032021-13
19,SCLC0035-586_NA_H3K4me3-39_26032021-13
20,PS0046-3_EDTA-FreshChIP_H3K4me3-90_25072021-28
21,CRC0010-3937_NA_H3K4me3-L_19022020-L
22,CRC0013-2572_NA_H3K4me3-L_17122019-L
23,CRC0021-3313_NA_H3K4me3-L_28112019-L
24,PS0162-1_NA_H3K4me3-620_04022023-81
25,CRC0030-3263_NA_H3K4me3-L_17122019-L
26,PS0119-9_A-1_H3K4me3-606_19012023-78
27,PS0125-7_NA_H3K4me3-352_21062022-54
28,SCLC0006-661_NA_H3K4me3-39_26032021-13
29,PS0001-12_12W-EDTA_H3K4me3-587_05012023-75
30,PS0188-1_NA_H3K4me3-732_14072023-97
31,SCLC0061-696_NA_H3K4me3-39_26032021-13
32,CRC0025-2815_NA_H3K4me3-L_19012020-L
33,PS0178-1_NA_H3K4me3-732_14072023-97
34,SCLC0066-750_NA_H3K4me3-38_26032021-13
35,PS0115-1_NA_H3K4me3-124_27102021-34
36,CRC0011-2010_NA_H3K4me3-L_28112019-L
37,SCLC0010-1553_NA_H3K4me3-L_21062020-L
38,CRC0020-3948_NA_H3K4me3-L_19022020-L
39,CRC0026-2854_NA_H3K4me3-L_17122019-L
40,CRC0006-4462_NA_H3K4me3-L_05102020-L
41,PS0114-1_NA_H3K4me3-124_27102021-34
42,SCLC0174-402_NA_H3K4me3-39_26032021-13
43,SCLC0126-223_NA_H3K4me3-38_26032021-13
44,CRC0041-3957_NA_H3K4me3-L_19022020-L
45,CRC0025-3746_NA_H3K4me3-L_28112019-L
46,PS0004-20_NA_H3K4me3-732_14072023-97
47,SCLC0035-466_NA_H3K4me3-39_26032021-13
48,SCLC0214-275_NA_H3K4me3-39_26032021-13
49,CRC0009-1997_NA_H3K4me3-L_17122019-L
50,PS0046-6_Manual_H3K4me3-170_07122021-38
51,PS0062-2_NA_H3K4me3-732_14072023-97
52,PS0035-17_CtrlElution-11A-55C_H3K4me3-743_30072023-100
53,PS0193-1_NA_H3K4me3-732_14072023-97
54,CRC0004-3990_NA_H3K4me3-L_19022020-L
55,CRC0006-4620_NA_H3K4me3-L_11102020-L
56,PS0117-2_NA_H3K4me3-398_02082022-59
57,PS0176-1_NA_H3K4me3-728_06072023-96
58,SCLC0044-538_NA_H3K4me3-38_26032021-13
59,SCLC0059-764_NA_H3K4me3-39_26032021-13
60,CRC0033-3900_NA_H3K4me3-L_19022020-L
61,PS0035-15_NA_H3K4me3-586_05012023-75
62,CRC0002-2302_NA_H3K4me3-L_17122019-L
63,SCLC0114-351_NA_H3K4me3-L_21062020-L
64,SCLC0007-54_NA_H3K4me3-39_26032021-13
65,PS0043-3_Control_H3K4me3-66_21062021-24
66,SCLC0047-571_NA_H3K4me3-38_26032021-13
67,PS0182-1_NA_H3K4me3-698_19052023-92
68,PS0181-1_NA_H3K4me3-732_14072023-97
69,SCLC0402-174_NA_H3K4me3-39_26032021-13
70,PS0119-6_NA_H3K4me3-385_02082022-59
71,SCLC0029-399_NA_H3K4me3-39_26032021-13
72,SCLC0040-501_NA_H3K4me3-39_26032021-13
73,SCLC0150-669_NA_H3K4me3-39_26032021-13
74,CRC0003-2737_NA_H3K4me3-L_17122019-L
75,CRC0023-2754_NA_H3K4me3-L_17122019-L
76,PS0177-1_NA_H3K4me3-698_19052023-92
77,CRC0005-2944_NA_H3K4me3-L_03122018-L
78,PS0131-2_HamElution-72C-4G_H3K4me3-743_30072023-100
79,SCLC0058-720_NA_H3K4me3-39_26032021-13
80,CRC0033-4033_NA_H3K4me3-L_19022020-L
81,CRC0023-3909_NA_H3K4me3-L_17022020-L
82,SCLC0062-778_NA_H3K4me3-39_26032021-13
83,SCLC0422-38_NA_H3K4me3-38_26032021-13
84,PS0046-5_NA_H3K4me3-157_17112021-36
85,PS0122-1_Manual_H3K4me3-170_07122021-38
86,SCLC0024-293_NA_H3K4me3-39_26032021-13
87,SCLC0061-777_NA_H3K4me3-39_26032021-13
88,SCLC0013-145_NA_H3K4me3-38_26032021-13
89,SCLC0002-434_NA_H3K4me3-39_26032021-13
90,SCLC0034-462_NA_H3K4me3-39_26032021-13
91,SCLC0169-74_NA_H3K4me3-39_26032021-13
92,PS0173-1_NA_H3K4me3-726_06072023-96
93,SCLC0030-435_NA_H3K4me3-39_26032021-13
94,CRC0006-4679_NA_H3K4me3-L_05102020-L
95,PS0003-2_israa_H3K4me3-9_07012021-4
96,PS0142-1_NA_H3K4me3-352_21062022-54
97,SCLC0125-1436_NA_H3K4me3-L_21062020-L
98,CRC0028-3987_NA_H3K4me3-L_19022020-L
99,PS0127-4_Roche-2W_H3K4me3-525_23102022-67
100,CRC0010-1954_NA_H3K4me3-L_17122019-L
101,SCLC0037-521_NA_H3K4me3-39_26032021-13
102,SCLC0022-488_NA_H3K4me3-39_26032021-13
103,CRC0009-1995_NA_H3K4me3-L_17122019-L
104,PS0121-1_Manual_H3K4me3-170_07122021-38
105,CRC0025-2929_NA_H3K4me3-L_19022020-L
106,SCLC0019-235_NA_H3K4me3-38_26032021-13
107,SCLC0006-348_NA_H3K4me3-38_26032021-13
108,CRC0005-3110_NA_H3K4me3-L_09022019-L
109,PS0160-2_NA_H3K4me3-579_24122022-73
110,CRC0010-3821_NA_H3K4me3-L_17122019-L
111,SCLC0059-681_NA_H3K4me3-39_26032021-13
112,PS0096-1_Manual_H3K4me3-93_25072021-28
113,SCLC0034-512_NA_H3K4me3-38_26032021-13
114,PS0043-1_NA_H3K4me3-52_09052021-17
115,PS0035-7_NA_H3K4me3-124_27102021-34
116,PS0017-3_16h-ChIP_H3K4me3-45_23042021-15
117,SCLC0010-774_NA_H3K4me3-38_26032021-13
118,CRC0051-3956_NA_H3K4me3-L_19022020-L
119,SCLC0051-612_NA_H3K4me3-39_26032021-13
120,SCLC0026-363_NA_H3K4me3-38_26032021-13
121,CRC0041-3770_NA_H3K4me3-L_28112019-L
122,SCLC0126-1441_NA_H3K4me3-L_21062020-L
123,CRC0037-3903_NA_H3K4me3-L_19022020-L
124,CRC0010-3743_NA_H3K4me3-L_28112019-L
125,CRC0056-3941_NA_H3K4me3-L_19022020-L
126,PS0126-1_WashPlate-1_H3K4me3-248_16022022-44
127,CRC0012-3802_NA_H3K4me3-L_17122019-L
128,CRC0015-3875_NA_H3K4me3-L_17022020-L
129,PS0003-25_Roche-17W_H3K4me3-621_04022023-81
130,CRC0048-3818_NA_H3K4me3-L_19022020-L
131,CRC0040-3944_NA_H3K4me3-L_19022020-L
132,SCLC0014-579_NA_H3K4me3-38_26032021-13
133,CRC0005-2865_NA_H3K4me3-L_28112019-L
134,SCLC0111-539_NA_H3K4me3-L_21062020-L
135,SCLC0043-518_NA_H3K4me3-38_26032021-13
136,SCLC0057-676_NA_H3K4me3-38_26032021-13
137,CRC0003-2740_NA_H3K4me3-L_26082018-L
138,CRC0002-2301_NA_H3K4me3-L_17122019-L
139,CRC0009-2001_NA_H3K4me3-L_17122019-L
140,CRC0035-3402_NA_H3K4me3-L_28112019-L
141,CRC0021-3974_NA_H3K4me3-L_24042020-L
142,CRC0025-2928_NA_H3K4me3-L_19022020-L
143,PS0119-7_NA_H3K4me3-401_19082022-62
144,SCLC0422-8_NA_H3K4me3-39_26032021-13
145,PS0004-15_NA_H3K4me3-325_07052022-50
146,SCLC0018-219_NA_H3K4me3-38_26032021-13
147,SCLC0146-1504_NA_H3K4me3-L_21062020-L
148,SCLC0026-520_NA_H3K4me3-38_26032021-13
149,SCLC0244-387_NA_H3K4me3-38_26032021-13
150,CRC0006-3135_NA_H3K4me3-L_27022019-L
151,SCLC0126-45_NA_H3K4me3-39_26032021-13
152,SCLC0169-222_NA_H3K4me3-38_26032021-13
153,SCLC0020-299_NA_H3K4me3-39_26032021-13
154,SCLC0033-489_NA_H3K4me3-39_26032021-13
155,SCLC0056-655_NA_H3K4me3-39_26032021-13
156,PS0187-1_Control-Kapa16_H3K4me3-698_19052023-92
157,SCLC0023-355_NA_H3K4me3-38_26032021-13
158,CRC0004-2751_NA_H3K4me3-L_03092018-L
159,PS0125-9_48h-post-TAB-vaccine_H3K4me3-412_28082022-63
160,PS0087-6_RT-ChIP_H3K4me3-71_21062021-24
161,PS0003-24_NA_H3K4me3-513_29092022-66
162,SCLC0062-688_NA_H3K4me3-38_26032021-13
163,PS0072-1_WashPlate-1_H3K4me3-248_16022022-44
164,CRC0036-3487_NA_H3K4me3-L_28112019-L
165,CRC0028-4021_NA_H3K4me3-L_19022020-L
166,SCLC0066-729_NA_H3K4me3-39_26032021-13
167,SCLC0196-1722_NA_H3K4me3-L_21062020-L
168,SCLC0001-7_NA_H3K4me3-39_26032021-13
169,PS0154-1_NA_H3K4me3-385_02082022-59
170,SCLC0014-131_NA_H3K4me3-38_26032021-13
171,CRC0056-4003_NA_H3K4me3-L_19022020-L
172,SCLC0035-653_NA_H3K4me3-38_26032021-13
173,SCLC0062-725_NA_H3K4me3-38_26032021-13
174,CRC0018-3881_NA_H3K4me3-L_19022020-L
175,SCLC0048-573_NA_H3K4me3-38_26032021-13
176,SCLC0147-1529_NA_H3K4me3-L_21062020-L
177,SCLC0108-435_NA_H3K4me3-L_21062020-L
178,CRC0010-3864_NA_H3K4me3-L_17022020-L
179,SCLC0109-897_NA_H3K4me3-L_21062020-L
180,PS0110-1_NA_H3K4me3-124_27102021-34
181,CRC0005-3251_NA_H3K4me3-L_06052019-L
182,PS0008-1_NA_H3K4me3-124_27102021-34
183,SCLC0042-528_NA_H3K4me3-39_26032021-13
184,SCLC0019-247_NA_H3K4me3-38_26032021-13
185,SCLC0169-62_NA_H3K4me3-39_26032021-13
186,SCLC0027-409_NA_H3K4me3-39_26032021-13
187,CRC0010-2852_NA_H3K4me3-L_28112019-L
188,SCLC0019-372_NA_H3K4me3-39_26032021-13
189,SCLC0174-300_NA_H3K4me3-39_26032021-13
190,PS0120-4_NA_H3K4me3-352_06072022-57
191,SCLC0150-390_NA_H3K4me3-39_26032021-13
192,CRC0055-4009_NA_H3K4me3-L_19022020-L
193,PS0124-1_WashPlate-1_H3K4me3-248_16022022-44
194,PS0047-2_Roche-FreshChIP_H3K4me3-103_14082021-30
195,CRC0046-2264_NA_H3K4me3-L_17122019-L
196,SCLC0021-325_NA_H3K4me3-38_26032021-13
197,SCLC0006-76_NA_H3K4me3-38_26032021-13
198,PS0138-1_NA_H3K4me3-352_06072022-57
199,SCLC0124-1439_NA_H3K4me3-L_21062020-L
200,CRC0015-3912_NA_H3K4me3-L_19022020-L
201,PS0180-1_NA_H3K4me3-732_14072023-97
202,SCLC0015-264_NA_H3K4me3-38_26032021-13
203,CRC0018-2504_NA_H3K4me3-L_17122019-L
204,CRC0024-2816_NA_H3K4me3-L_17122019-L
205,PS0116-1_NA_H3K4me3-140_14112021-35
206,SCLC0422-832_NA_H3K4me3-L_21062020-L
207,SCLC0022-269_NA_H3K4me3-38_26032021-13
208,CRC0037-3488_NA_H3K4me3-L_28112019-L
209,SCLC0261-419_NA_H3K4me3-38_26032021-13
210,PS0109-1_NA_H3K4me3-124_27102021-34
211,SCLC0152-94_NA_H3K4me3-38_26032021-13
212,PS0186-1_NA_H3K4me3-732_14072023-97
213,CRC0009-2004_NA_H3K4me3-L_17122019-L
214,PS0001-6_NA_H3K4me3-124_27102021-34
215,PS0035-12_NA_H3K4me3-325_07052022-50
216,CRC0041-3775_NA_H3K4me3-L_28112019-L
217,SCLC0053-621_NA_H3K4me3-38_26032021-13
218,SCLC0191-1616_NA_H3K4me3-L_21062020-L
219,CRC0023-3947_NA_H3K4me3-L_19022020-L
220,CRC0007-2968_NA_H3K4me3-L_26122018-L
221,SCLC0061-744_NA_H3K4me3-38_26032021-13
222,SCLC0150-91_NA_H3K4me3-39_26032021-13
223,PS0087-9_EDTA-FreshChIP_H3K4me3-103_14082021-30
224,CRC0015-2138_NA_H3K4me3-L_19012020-L
225,PS0049-2_NA_H3K4me3-124_27102021-34
226,SCLC0067-781_NA_H3K4me3-39_26032021-13
227,SCLC0150-421_NA_H3K4me3-39_26032021-13
228,SCLC0150-18_NA_H3K4me3-38_26032021-13
229,SCLC0193-1753_NA_H3K4me3-L_21062020-L
230,SCLC0004-698_NA_H3K4me3-39_26032021-13
231,PS0002-6_NA_H3K4me3-124_27102021-34
232,CRC0053-4023_NA_H3K4me3-L_19022020-L
233,PS0125-5_NA_H3K4me3-278_03032022-46
234,SCLC0046-572_NA_H3K4me3-38_26032021-13
235,CRC0034-3729_NA_H3K4me3-L_28112019-L
236,PS0171-1_Control-Kapa16_H3K4me3-698_19052023-92
237,SCLC0050-641_NA_H3K4me3-38_26032021-13
238,PS0103-1_NA_H3K4me3-76_26062021-25
239,PS0087-2_israa_H3K4me3-9_07012021-4
240,SCLC0032-472_NA_H3K4me3-38_26032021-13
241,PS0112-1_NA_H3K4me3-124_27102021-34
242,SCLC0054-654_NA_H3K4me3-38_26032021-13
243,SCLC0261-553_NA_H3K4me3-39_26032021-13
244,CRC0012-2065_NA_H3K4me3-L_19022020-L
245,SCLC0170-771_NA_H3K4me3-38_26032021-13
246,SCLC0106-705_NA_H3K4me3-L_21062020-L
247,PS0003-5_Control_H3K4me3-66_21062021-24
248,SCLC0026-376_NA_H3K4me3-39_26032021-13
249,PS0003-6_RT-ChIP_H3K4me3-71_21062021-24
250,CRC0030-3335_NA_H3K4me3-L_28112019-L
