,0
0,PS0001-12_12W-EDTA_H3K4me3-587_05012023-75
1,PS0003-24_NA_H3K4me3-513_29092022-66
2,PS0003-25_Roche-17W_H3K4me3-621_04022023-81
3,PS0003-2_israa_H3K4me3-9_07012021-4
4,PS0004-15_NA_H3K4me3-325_07052022-50
5,PS0004-20_NA_H3K4me3-732_14072023-97
6,PS0008-1_NA_H3K4me3-124_27102021-34
7,PS0017-3_16h-ChIP_H3K4me3-45_23042021-15
8,PS0035-15_NA_H3K4me3-586_05012023-75
9,PS0035-17_CtrlElution-11A-55C_H3K4me3-743_30072023-100
10,PS0035-7_NA_H3K4me3-124_27102021-34
11,PS0043-1_NA_H3K4me3-52_09052021-17
12,PS0043-3_Control_H3K4me3-66_21062021-24
13,PS0046-3_EDTA-FreshChIP_H3K4me3-90_25072021-28
14,PS0046-5_NA_H3K4me3-157_17112021-36
15,PS0046-6_Manual_H3K4me3-170_07122021-38
16,PS0062-2_NA_H3K4me3-732_14072023-97
17,PS0072-1_WashPlate-1_H3K4me3-248_16022022-44
18,PS0087-6_RT-ChIP_H3K4me3-71_21062021-24
19,PS0096-1_Manual_H3K4me3-93_25072021-28
20,PS0110-1_NA_H3K4me3-124_27102021-34
21,PS0114-1_NA_H3K4me3-124_27102021-34
22,PS0115-1_NA_H3K4me3-124_27102021-34
23,PS0117-2_NA_H3K4me3-398_02082022-59
24,PS0119-6_NA_H3K4me3-385_02082022-59
25,PS0119-7_NA_H3K4me3-401_19082022-62
26,PS0119-9_A-1_H3K4me3-606_19012023-78
27,PS0121-1_Manual_H3K4me3-170_07122021-38
28,PS0122-1_Manual_H3K4me3-170_07122021-38
29,PS0125-7_NA_H3K4me3-352_21062022-54
30,PS0125-9_48h-post-TAB-vaccine_H3K4me3-412_28082022-63
31,PS0126-1_WashPlate-1_H3K4me3-248_16022022-44
32,PS0127-4_Roche-2W_H3K4me3-525_23102022-67
33,PS0131-2_HamElution-72C-4G_H3K4me3-743_30072023-100
34,PS0142-1_NA_H3K4me3-352_21062022-54
35,PS0154-1_NA_H3K4me3-385_02082022-59
36,PS0160-2_NA_H3K4me3-579_24122022-73
37,PS0162-1_NA_H3K4me3-620_04022023-81
38,PS0173-1_NA_H3K4me3-726_06072023-96
39,PS0176-1_NA_H3K4me3-728_06072023-96
40,PS0177-1_NA_H3K4me3-698_19052023-92
41,PS0178-1_NA_H3K4me3-732_14072023-97
42,PS0181-1_NA_H3K4me3-732_14072023-97
43,PS0182-1_NA_H3K4me3-698_19052023-92
44,PS0187-1_Control-Kapa16_H3K4me3-698_19052023-92
45,PS0188-1_NA_H3K4me3-732_14072023-97
46,PS0193-1_NA_H3K4me3-732_14072023-97
47,PS0001-6_NA_H3K4me3-124_27102021-34
48,PS0002-6_NA_H3K4me3-124_27102021-34
49,PS0003-27_NA_H3K4me3-609_19012023-78
50,PS0003-5_Control_H3K4me3-66_21062021-24
51,PS0003-6_RT-ChIP_H3K4me3-71_21062021-24
52,PS0035-10_NA_H3K4me3-266_03032022-46
53,PS0035-12_NA_H3K4me3-325_07052022-50
54,PS0043-2_NA_H3K4me3-94_30072021-29
55,PS0047-2_Roche-FreshChIP_H3K4me3-103_14082021-30
56,PS0047-4_NA_H3K4me3-124_27102021-34
57,PS0049-2_NA_H3K4me3-124_27102021-34
58,PS0087-2_israa_H3K4me3-9_07012021-4
59,PS0087-9_EDTA-FreshChIP_H3K4me3-103_14082021-30
60,PS0103-1_NA_H3K4me3-76_26062021-25
61,PS0109-1_NA_H3K4me3-124_27102021-34
62,PS0112-1_NA_H3K4me3-124_27102021-34
63,PS0116-1_NA_H3K4me3-140_14112021-35
64,PS0119-2_NA_H3K4me3-225_30012022-42
65,PS0120-4_NA_H3K4me3-352_06072022-57
66,PS0120-6_NA_H3K4me3-732_14072023-97
67,PS0124-1_WashPlate-1_H3K4me3-248_16022022-44
68,PS0125-1_NA_H3K4me3-185_03012022-40
69,PS0125-3_Arm_H3K4me3-255_22022022-45
70,PS0125-4_Foot_H3K4me3-255_22022022-45
71,PS0125-5_NA_H3K4me3-278_03032022-46
72,PS0127-5_NA_H3K4me3-586_05012023-75
73,PS0135-1_NA_H3K4me3-352_21062022-54
74,PS0138-1_NA_H3K4me3-352_06072022-57
75,PS0161-1_NA_H3K4me3-620_04022023-81
76,PS0163-1_NA_H3K4me3-619_31012023-80
77,PS0171-1_Control-Kapa16_H3K4me3-698_19052023-92
78,PS0180-1_NA_H3K4me3-732_14072023-97
79,PS0186-1_NA_H3K4me3-732_14072023-97
