,mu,variance,a,b
SAMD11,8.58659729449793,19.3574910454137,3.808843456257089,0.44358007317959325
NOC2L,60.7185891669512,209.738808442531,17.577801160414154,0.28949620538913406
KLHL17,60.4370749479702,203.57089549899104,17.942840106456533,0.2968846543599832
PLEKHN1,15.7334317403466,18.221213849682304,13.585311953981698,0.8634678166965766
HES4,23.788967421179702,108.09234468012302,5.23547687526492,0.22008003889246958
ISG15,33.2790766119398,52.90357257756861,20.934256160479855,0.6290515931253063
AGRN,34.17458163444109,59.98821367655438,19.46885826916259,0.5696882694107923
RNF223,0.0230036851414855,0.0203886088174917,0.02595417543322613,1.1282616360636772
C1orf159,44.77070443562519,124.79109082331297,16.06217208646799,0.35876523027604873
TTLL10,0.001,0.0197537902542625,5.062319621340611e-05,0.050623196213406114
TNFRSF18,0.635407309830074,0.0001,4037.4244938549164,6354.07309830074
TNFRSF4,1.32991843615405,3.4954439604037804,0.5059966822120422,0.38047196614201273
SDF4,58.950755460938105,159.00709505547604,21.85557548990417,0.3707429246498137
B3GALT6,58.1814796605857,153.747433129369,22.01717782596609,0.37842244567185435
FAM132A,0.20127704073412797,0.030991679673753093,1.3072039835581377,6.494550887623875
UBE2J2,78.0070975103757,373.450975968083,16.29425989909135,0.2088817610080167
SCNN1D,0.0091827134847521,0.0001,0.8432222694304805,91.827134847521
ACAP3,59.360140703577,225.65900922000097,15.614826620607829,0.26305238558282074
PUSL1,59.4199270894821,231.96178111318696,15.221161513656991,0.2561625747324635
CPSF3L,55.2455610907851,153.750477292413,19.85081330467048,0.35931960709114014
GLTPD1,55.0107826808269,152.120799072809,19.89330998523583,0.36162564893244675
TAS1R3,0.0070532184330732,0.00010000000000000002,0.49747890264643563,70.532184330732
DVL1,39.831571431277105,164.40776118126104,9.650116705474385,0.2422730602563369
MXRA8,0.806576739825202,0.0001,6505.660372270515,8065.767398252019
AURKAIP1,57.42672367797459,154.274127653172,21.376420288697982,0.37223820060792845
CCNL2,74.14990416726721,302.25352111959404,18.190717076342708,0.2453235412861509
MRPL20,55.0792478967709,119.74113235221802,25.33568448267432,0.45998602831611396
ANKRD65,1.17158822784,2.52267574840139,0.5441123285396846,0.4644228369747602
TMEM88B,0.370801175469442,0.0001,1374.9351172951992,3708.0117546944202
VWA1,6.82878220894124,7.30216775372322,6.386085342037726,0.935171915964186
ATAD3C,0.826298668310786,0.0091312297838908,74.77300488667053,90.49149872107387
ATAD3B,53.7581250436144,155.86721596140003,18.541012555973058,0.34489693494575163
ATAD3A,58.55465830530971,145.59888163514404,23.54858753546897,0.40216420378860956
TMEM240,4.53840385833696,2.2790362177631702,9.037640306385072,1.991369782965238
SSU72,78.9517015007692,235.588810040883,26.458689480136393,0.33512500651906296
C1orf233,21.571289274998705,94.3506881372558,4.931819048407504,0.22862884946443704
MIB2,76.6757690150125,271.88375950457106,21.623849709731225,0.2820167308070617
MMP23B,3.26935171407984,0.7365737725451649,14.511323955268017,4.438593710420732
