,0
0,-43.21841782930738
1,-9.802916558589166
2,-9.215427476782102
3,-8.875459019446675
4,-8.631413205282998
5,-8.407785510219846
6,-8.148866320558941
7,-7.801629631954731
8,-7.318881508258763
9,-6.6853477846530165
10,-5.954127635660775
11,-5.243499968494722
12,-4.66551788704246
13,-4.258074002095493
14,-3.992288236729242
15,-3.8209645194503588
16,-3.709578594942772
17,-3.637957535825469
18,-3.5925408503037297
19,-3.5634452439517132
20,-3.5441376613053936
21,-3.5307040751786904
22,-3.520900722846949
23,-3.513441078497866
24,-3.507567125305782
25,-3.502813865039185
26,-3.4988832841456663
27,-3.495576256725
28,-3.492754653540312
29,-3.4903194276655136
30,-3.488197423130765
31,-3.486333142134421
32,-3.484683451346237
33,-3.4832140981177333
34,-3.4818973768129102
35,-3.4807105430367997
36,-3.479634721071845
37,-3.4786541381404152
38,-3.4777555743581186
39,-3.476927953323946
40,-3.476162022798932
41,-3.4754500921042686
42,-3.4747858051579454
43,-3.474163936891763
44,-3.473580207002447
45,-3.473031109129235
46,-3.4725137559960144
47,-3.4720257421342073
48,-3.4715650258391078
49,-3.4711298313481542
50,-3.470718571202441
51,-3.4703297876625054
52,-3.469962111123338
53,-3.469614232847857
54,-3.4692848890570933
55,-3.4689728534506443
56,-3.4686769355076654
57,-3.4683959823441697
58,-3.46812888238885
59,-3.467874569617036
60,-3.4676320275047723
61,-3.467400292208795
62,-3.4671784547374993
63,-3.466965662059179
64,-3.4667611172094563
65,-3.466564078524886
66,-3.4663738581584185
67,-3.46618982003708
68,-3.4660113774124133
69,-3.4658379901367646
70,-3.465669161778372
71,-3.4655044366680254
72,-3.465343396951791
73,-3.4651856597084785
74,-3.465030874177518
75,-3.4648787191325168
76,-3.4647289004276898
77,-3.4645811487382554
78,-3.464435217511162
79,-3.4642908811390174
80,-3.464147933366991
81,-3.464006185939713
82,-3.4638654674920972
83,-3.4637256226842705
84,-3.463586511576055
85,-3.463448009230376
86,-3.4633100055274006
87,-3.463172405162172
88,-3.4630351277882023
89,-3.462898108258475
90,-3.462761296904469
91,-3.462624659784291
92,-3.46248817882432
93,-3.4623518517764555
94,-3.4622156919166365
95,-3.4620797274207797
96,-3.4619440003721937
97,-3.461808565379311
98,-3.461673487812489
99,-3.461538841701268
100,-3.4614047073650553
101,-3.4612711688772686
102,-3.4611383114816885
103,-3.4610062190877797
104,-3.460874971967689
105,-3.460744644761932
106,-3.4606153048755512
107,-3.4604870113150508
108,-3.460359813982426
109,-3.4602337534102743
110,-3.4601088608945005
111,-3.4599851589607047
112,-3.4598626620882262
113,-3.4597413776117776
114,-3.4596213067235846
115,-3.459502445507404
116,-3.4593847859477487
117,-3.459268316871171
118,-3.4591530247902034
119,-3.459038894633004
120,-3.4589259103524483
121,-3.458814055416712
122,-3.458703313189505
123,-3.458593667211926
124,-3.4584851014000275
125,-3.4583776001727413
126,-3.4582711485243527
127,-3.4581657320545403
128,-3.4580613369673685
129,-3.457957950048812
130,-3.457855558630645
131,-3.457754150546773
132,-3.4576537140865855
133,-3.4575542379486275
134,-3.457455711196787
135,-3.457358123220333
136,-3.457261463698485
137,-3.457165722569687
138,-3.4570708900053932
139,-3.4569769563879627
140,-3.456883912292047
141,-3.4567917484688064
142,-3.4567004558322267
143,-3.456610025446757
144,-3.456520448515503
145,-3.4564317163681686
146,-3.4563438204478953
147,-3.456256752296113
148,-3.4561705035343557
149,-3.4560850658419193
150,-3.456000430927959
151,-3.4559165904963853
152,-3.455833536201551
153,-3.4557512595922795
154,-3.455669752041273
155,-3.4555890046563915
156,-3.4555090081697197
157,-3.4554297527999833
158,-3.455351228083799
159,-3.4552734226720494
160,-3.4551963240898766
161,-3.4551199184634505
162,-3.455044190225412
163,-3.4549691218255094
164,-3.4548946934958615
165,-3.454820883153019
166,-3.454747666560938
167,-3.454675017923332
168,-3.454602911103384
169,-3.454531321650559
170,-3.4544602297019593
171,-3.454389623576485
172,-3.4543195034966447
173,-3.454249884459768
174,-3.4541807970663503
175,-3.454112285369177
176,-3.4540444016347873
177,-3.453977199043697
178,-3.4539107242165743
179,-3.4538450115231565
180,-3.453780080366396
181,-3.4537159355037823
182,-3.4536525695709046
183,-3.4535899666317498
184,-3.4535281057381346
185,-3.4534669638767657
186,-3.4534065180747167
187,-3.4533467467009613
188,-3.4532876301296986
189,-3.45322915095948
190,-3.4531712939578174
191,-3.4531140458582725
192,-3.4530573950952843
193,-3.453001331528645
194,-3.452945846185948
195,-3.452890931036092
196,-3.4528365787977675
197,-3.4527827827818522
198,-3.4527295367642132
199,-3.452676834884516
200,-3.4526246715666273
201,-3.452573041456561
202,-3.452521939374403
203,-3.4524713602773343
204,-3.452421299231282
205,-3.4523717513893213
206,-3.452322711975256
207,-3.4522741762712075
208,-3.452226139608235
209,-3.4521785973593118
210,-3.452131544934054
211,-3.4520849777747955
212,-3.452038891353687
213,-3.451993281170543
214,-3.4519481427512875
215,-3.451903471646815
216,-3.451859263432186
217,-3.451815513706067
218,-3.4517722180903454
219,-3.4517293722298987
220,-3.4516869717924434
221,-3.4516450124684765
222,-3.4516034899712724
223,-3.4515624000369143
224,-3.4515217384243675
225,-3.45148150091557
226,-3.451441683315547
227,-3.451402281452528
228,-3.4513632911780863
229,-3.4513247083672796
230,-3.451286528918792
231,-3.4512487487550847
232,-3.451211363822555
233,-3.451174370091682
234,-3.451137763557183
235,-3.4511015402381746
236,-3.4510656961783184
237,-3.4510302274459863
238,-3.4509951301344057
239,-3.4509604003618186
240,-3.45092603427163
241,-3.45089202803256
242,-3.4508583778387947
243,-3.4508250799101328
244,-3.450792130492131
245,-3.4507595258562485
246,-3.4507272622999925
247,-3.4506953361470556
248,-3.4506637437474588
249,-3.4506324814776876
250,-3.4506015457408217
251,-3.4505709329666816
252,-3.450540639611945
253,-3.4505106621602857
254,-3.4504809971225003
255,-3.4504516410366333
256,-3.4504225904681007
257,-3.4503938420098095
258,-3.4503653922822792
