,0
0,-23.569752376283486
1,-6.953321468309805
2,-6.728986348992871
3,-6.573878501230984
4,-6.4579930229873
5,-6.365825775046522
6,-6.288220984928851
7,-6.219342492181881
8,-6.155204156408074
9,-6.092910112770622
10,-6.030248957855165
11,-5.965480833533767
12,-5.8972393251568205
13,-5.8245064738159735
14,-5.746634146957705
15,-5.663389293847543
16,-5.574999874051681
17,-5.482176545714312
18,-5.38608634843282
19,-5.288262148311114
20,-5.190447249302565
21,-5.094395711231293
22,-5.00166764069188
23,-4.913465170828243
24,-4.8305439426220955
25,-4.753210953289743
26,-4.681394083414792
27,-4.614752530614344
28,-4.5527951090113845
29,-4.494981790261083
30,-4.440796302349926
31,-4.389788394557549
32,-4.3415909501915975
33,-4.295919603796598
34,-4.252562263740142
35,-4.211364379399098
36,-4.1722138931131685
37,-4.135028078624922
38,-4.099743095023912
39,-4.066306153280843
40,-4.034669719361982
41,-4.0047871206632335
42,-3.976609151258098
43,-3.9500815841015466
44,-3.9251436991654876
45,-3.901727933863981
46,-3.8797606035388212
47,-3.8591634506162036
48,-3.839855663714913
49,-3.8217559888875403
50,-3.8047846073917264
51,-3.7888645481070364
52,-3.773922525114694
53,-3.759889228365245
54,-3.746699215252107
55,-3.7342906131218596
56,-3.72260482849722
57,-3.7115863856108087
58,-3.701182925764148
59,-3.691345328302178
60,-3.6820278813555225
61,-3.6731884323684176
62,-3.6647884700535958
63,-3.6567931157693274
64,-3.6491710239157413
65,-3.641894204461798
66,-3.634937786844304
67,-3.6282797455306763
68,-3.6219006057966254
69,-3.6157831453460436
70,-3.6099121041797755
71,-3.6042739119902443
72,-3.598856439455701
73,-3.593648777184545
74,-3.588641043767107
75,-3.5838242224915695
76,-3.579190024827965
77,-3.5747307778065895
78,-3.5704393318989576
79,-3.5663089858929
80,-3.562333425449134
81,-3.5585066724315095
82,-3.554823042616051
83,-3.551277109919598
84,-3.5478636757845803
85,-3.54457774277361
86,-3.541414491749548
87,-3.538369262243255
88,-3.5354375357535086
89,-3.532614921798357
90,-3.5298971465629596
91,-3.5272800439831133
92,-3.524759549080868
93,-3.522331693340114
94,-3.5199926018835663
95,-3.5177384921932564
96,-3.5155656741066865
97,-3.5134705508208905
98,-3.5114496206461916
99,-3.5094994792687357
100,-3.507616822304181
101,-3.505798447952089
102,-3.5040412595895467
103,-3.5023422681717173
104,-3.5006985943348394
105,-3.499107470122613
106,-3.4975662402792556
107,-3.4960723630714114
108,-3.4946234106165175
109,-3.4932170687074393
110,-3.4918511361325146
111,-3.4905235234972074
112,-3.489232251558978
113,-3.4879754490911794
114,-3.4867513502956213
115,-3.485558291787089
116,-3.4843947091770766
117,-3.4832591332885086
118,-3.482150186038177
119,-3.481066576029135
120,-3.48000709390091
121,-3.478970607490999
122,-3.477956056866017
123,-3.476962449284907
124,-3.4759888541591075
125,-3.47503439807533
126,-3.47409825994518
127,-3.4731796663423227
128,-3.472277887082121
129,-3.4713922310909626
130,-3.4705220426031405
131,-3.469666697712624
132,-3.468825601295974
133,-3.4679981843114356
134,-3.467183901468691
135,-3.466382229254092
136,-3.4655926642880615
137,-3.4648147219848973
138,-3.464047935480604
139,-3.4632918547916676
140,-3.4625460461667497
141,-3.4618100915939127
142,-3.4610835884279725
143,-3.460366149105562
144,-3.4596574009192036
145,-3.45895698582584
146,-3.45826456026957
147,-3.4575797950025344
148,-3.456902374891903
149,-3.4562319987044887
150,-3.4555683788636595
151,-3.454911241175847
152,-3.45426032452609
153,-3.4536153805437
154,-3.45297617324031
155,-3.452342478623442
156,-3.451714084289131
157,-3.4510907889974587
158,-3.450472402234751
159,-3.449858743766155
160,-3.4492496431819846
161,-3.448644939440947
162,-3.4480444804130332
163,-3.4474481224244746
164,-3.4468557298068947
165,-3.446267174452452
166,-3.4456823353765316
167,-3.445101098289343
168,-3.444523355177603
169,-3.4439490038973446
170,-3.443377947778842
171,-3.4428100952445204
172,-3.442245359440724
173,-3.4416836578841483
174,-3.4411249121237373
175,-3.4405690474188027
176,-3.440015992434087
177,-3.43946567895243
178,-3.438918041605655
179,-3.4383730176241625
180,-3.437830546605653
181,-3.437290570303242
182,-3.4367530324331033
183,-3.436217878501654
184,-3.4356850556520766
185,-3.4351545125298713
186,-3.434626199166966
187,-3.4341000668837567
188,-3.433576068208323
189,-3.433054156812012
190,-3.4325342874604337
191,-3.432016415978936
192,-3.4315004992315683
193,-3.4309864951125855
194,-3.430474362549596
195,-3.429964061517546
196,-3.4294555530627955
197,-3.42894879933675
198,-3.428443763638558
199,-3.427940410466609
200,-3.427438705578623
201,-3.426938616060297
202,-3.42644011040254
203,-3.4259431585873608
204,-3.4254477321824996
205,-3.4249538044448165
206,-3.4244613504323325
207,-3.4239703471246488
208,-3.4234807735511827
209,-3.422992610926362
210,-3.4225058427905455
211,-3.42202045515497
212,-3.4215364366486494
213,-3.4210537786645507
214,-3.42057247550205
215,-3.42009252450209
216,-3.419613926171174
217,-3.4191366842899718
218,-3.418660806002125
219,-3.4181863018787393
220,-3.417713185954152
221,-3.417241475728742
222,-3.416771192134996
223,-3.416302359463544
224,-3.4158350052466813
225,-3.4153691600977005
226,-3.414904857505429
227,-3.4144421335844206
228,-3.4139810267824737
229,-3.4135215775482766
230,-3.413063827963207
231,-3.4126078213423616
232,-3.4121536018108767
233,-3.4117012138624223
234,-3.41125070190735
235,-3.41080210981839
236,-3.4103554804819023
237,-3.4099108553626487
238,-3.409468274089622
239,-3.4090277740700055
240,-3.408589390137465
241,-3.4081531542401216
242,-3.4077190951724785
243,-3.407287238354436
244,-3.4068576056594435
245,-3.4064302152926538
246,-3.4060050817189564
247,-3.4055822156397917
248,-3.405161624016831
249,-3.404743310139991
250,-3.4043272737366927
251,-3.403913511119011
252,-3.403502015365134
253,-3.403092776531506
254,-3.402685781892152
255,-3.4022810162017754
256,-3.401878461979481
257,-3.4014780998101926
258,-3.401079908661089
259,-3.4006838662105654
260,-3.4002899491873957
261,-3.3998981337178193
262,-3.399508395678288
263,-3.3991207110514785
264,-3.398735056282959
265,-3.3983514086356483
266,-3.397969746538789
267,-3.397590049927799
268,-3.397212300570871
269,-3.3968364823778354
270,-3.3964625816863503
271,-3.3960905875202663
272,-3.395720491814788
273,-3.395352289603104
274,-3.3949859791592987
275,-3.3946215620928144
276,-3.394259043390365
277,-3.3938984314020657
278,-3.393539737769711
279,-3.3931829772963975
280,-3.3928281677582346
281,-3.3924753296604524
282,-3.3921244859419013
283,-3.3917756616335564
284,-3.391428883478185
285,-3.391084179519692
286,-3.390741578671755
287,-3.3904011102761333
288,-3.39006280366148
289,-3.3897266877134737
290,-3.3893927904667143
291,-3.3890611387280347
292,-3.3887317577397487
293,-3.3884046708899063
294,-3.3880798994749655
295,-3.387757462518452
296,-3.387437376647326
297,-3.387119656025929
298,-3.386804312345633
299,-3.386491354866812
300,-3.3861807905083996
301,-3.3858726239793437
302,-3.3855668579454816
303,-3.3852634932249837
304,-3.3849625290053633
305,-3.3846639630751816
306,-3.3843677920638853
307,-3.3840740116837646
308,-3.383782616968587
309,-3.383493602504191
310,-3.3832069626470185
311,-3.3829226917272157
312,-3.3826407842336486
313,-3.3823612349786476
314,-3.38208403924086
315,-3.3818091928849063
316,-3.3815366924569012
317,-3.38126653525511
318,-3.3809987193751962
319,-3.3807332437296775
320,-3.380470108041375
321,-3.380209312810777
322,-3.379950859257466
323,-3.379694749235992
324,-3.379440985126909
325,-3.379189569704076
326,-3.3789405059797324
327,-3.3786937970294266
328,-3.37844944579933
329,-3.3782074548990915
330,-3.3779678263838853
331,-3.3777305615297983
332,-3.3774956606071704
333,-3.3772631226567777
334,-3.3770329452739927
335,-3.3768051244060886
336,-3.376579654167757
337,-3.376356526679678
338,-3.376135731934486
339,-3.3759172576939758
340,-3.375701089420628
341,-3.3754872102457294
342,-3.3752756009754856
343,-3.3750662401355394
344,-3.3748591040534293
345,-3.374654166977493
346,-3.3744514012299835
347,-3.3742507773912616
348,-3.3740522645113544
349,-3.3738558303445667
350,-3.3736614416024544
351,-3.3734690642202136
352,-3.373278663631383
353,-3.373090205045825
354,-3.3729036537260186
355,-3.3727189752570164
356,-3.3725361358056807
357,-3.372355102365268
358,-3.372175842981888
359,-3.3719983269598233
360,-3.3718225250432683
361,-3.371648409572533
362,-3.371475954613287
363,-3.371305136057918
364,-3.371135931698569
365,-3.3709683212718344
366,-3.3708022864755467
367,-3.3706378109584163
368,-3.370474880283661
369,-3.3703134818680387
370,-3.370153604897952
371,-3.369995240224521
372,-3.3698383802397007
373,-3.3696830187356825
374,-3.369529150749891
375,-3.36937677239802
376,-3.3692258806975572
377,-3.369076473384289
378,-3.368928548724237
379,-3.3687821053234757
380,-3.3686371419381658
381,-3.3684936572870514
382,-3.3683516498686035
383,-3.368211117784738
384,-3.3680720585729933
385,-3.367934469048782
386,-3.367798345159186
387,-3.3676636818495385
388,-3.367530472943818
389,-3.367398711039673
390,-3.3672683874186697
391,-3.367139491972119
392,-3.3670120131426664
393,-3.366885937881571
394,-3.366761251621448
395,-3.3666379382640543
396,-3.366515980182524
397,-3.3663953582373214
398,-3.366276051805062
399,-3.3661580388192074
400,-3.3660412958216157
401,-3.3659257980237642
402,-3.3658115193765252
403,-3.3656984326472337
404,-3.365586509502856
405,-3.3654757205980292
406,-3.365366035666762
407,-3.365257423616638
408,-3.3651498526243793
409,-3.3650432902317116
410,-3.364937703440515
411,-3.3648330588063304
412,-3.3647293225293606
413,-3.364626460542206
414,-3.3645244385936612
415,-3.364423222327983
416,-3.3643227773591753
417,-3.3642230693399013
418,-3.36412406402478
419,-3.364025727327913
420,-3.363928025374614
421,-3.363830924547427
422,-3.3637343915266333
423,-3.3636383933255996
424,-3.363542897321377
425,-3.363447871281146
426,-3.3633532833851727
427,-3.363259102247072
428,-3.3631652969322605
429,-3.3630718369756054
430,-3.3629786923993015
431,-3.3628858337321335
432,-3.362793232031274
433,-3.362700858907815
434,-3.3626086865572207
435,-3.3625166877958472
436,-3.3624248361045947
437,-3.36233310568068
438,-3.3622414714983324
439,-3.3621499093790446
440,-3.362058396071776
441,-3.3619669093432285
442,-3.361875428077979
443,-3.3617839323879286
444,-3.3616924037301157
445,-3.361600825031507
446,-3.361509180818995
447,-3.3614174573523457
448,-3.361325642757435
449,-3.3612337271566974
450,-3.3611417027933546
451,-3.361049564145692
452,-3.360957308027425
453,-3.3608649336701104
454,-3.36077244278352
455,-3.360679839590074
456,-3.360587130829729
457,-3.3604943257321027
