,0
0,-4.511994577784091
1,-4.455408952095359
2,-4.410473065163195
3,-4.373462462045253
4,-4.342642907957733
5,-4.316875912511349
6,-4.295297550545633
7,-4.277210699374229
8,-4.262037103416025
9,-4.249291842856258
10,-4.238567115166038
11,-4.229520556792616
12,-4.221865692004561
13,-4.215363717707992
14,-4.209816405592114
15,-4.205059786602854
16,-4.200958637650311
17,-4.197401699305326
18,-4.194297598218918
19,-4.191571319818497
20,-4.189161364928633
21,-4.187017207947373
22,-4.185097365928441
23,-4.183367708983273
24,-4.181800076381863
25,-4.18037123599872
26,-4.179061920661479
27,-4.177856171347201
28,-4.17674069513008
29,-4.175704399079829
30,-4.174738001514971
31,-4.173833675514906
32,-4.172984815301746
33,-4.172185776188225
34,-4.171431696337462
35,-4.1707183605670926
36,-4.170042112790048
37,-4.169399715956301
38,-4.168788324420899
39,-4.168205416105687
40,-4.167648749686777
41,-4.167116300284863
42,-4.166606291282177
43,-4.166117093126476
44,-4.165647271157056
45,-4.1651955058075485
46,-4.1647606085307896
47,-4.164341502991319
48,-4.163937213464081
49,-4.163546847642958
50,-4.163169583593309
51,-4.162804686935246
52,-4.162451453354954
53,-4.16210925147906
54,-4.161777504319698
55,-4.161455670017749
56,-4.161143249616772
57,-4.160839773961902
58,-4.16054481016323
59,-4.160257973548025
60,-4.15997886903882
61,-4.159707163722813
62,-4.159442513591796
63,-4.159184633559733
64,-4.158933213650435
65,-4.158688001681119
66,-4.158448735371232
67,-4.1582151762574915
68,-4.1579871178030965
69,-4.157764321341365
70,-4.157546599586308
71,-4.157333773121238
72,-4.157125644692034
73,-4.156922061692178
74,-4.156722856385261
75,-4.156527871062607
76,-4.156336970888823
77,-4.156150013712049
78,-4.155966881017387
79,-4.155787423560024
80,-4.155611545713246
81,-4.1554391307294365
82,-4.155270058973134
83,-4.155104248017072
84,-4.154941582457721
85,-4.154781974777579
86,-4.154625335680693
87,-4.154471582715958
88,-4.154320622333139
89,-4.154172388828546
90,-4.154026787614822
91,-4.153883763599396
92,-4.15374324401021
93,-4.153605148613453
94,-4.153469427357614
95,-4.153336016592384
96,-4.153204843378812
97,-4.153075854782015
98,-4.152948997950554
99,-4.152824223538488
