,0
0,-4.73989119833827
1,-4.440013022005975
2,-4.287480717226031
3,-4.197125474517622
4,-4.141379477776493
5,-4.107228323719219
6,-4.086250337748749
7,-4.073007482624705
8,-4.064247207399482
9,-4.058123957625937
10,-4.0536055242057465
11,-4.050106468064883
12,-4.047284752801135
13,-4.044932895766615
14,-4.042920031244401
15,-4.041160462096195
16,-4.039596078072962
17,-4.038186129052643
18,-4.036901268914888
19,-4.0357198452115295
20,-4.0346253733124655
21,-4.033605168598279
22,-4.03264940185774
23,-4.031750124060458
24,-4.030900878652502
25,-4.030096388834676
26,-4.02933231888168
27,-4.028604994906267
28,-4.027911277627169
29,-4.027248491868725
30,-4.026614346380712
31,-4.026006844121435
32,-4.025424241726562
33,-4.024865010718433
34,-4.024327698603386
35,-4.023811122610696
36,-4.023314088167919
37,-4.022835673167368
38,-4.022374863340647
39,-4.021930841138533
40,-4.021502818194239
41,-4.021090079633503
42,-4.02069195457029
43,-4.020307755298136
44,-4.019937006040851
45,-4.019579054187186
46,-4.019233355499056
47,-4.0188995354328
48,-4.018577055806166
49,-4.018265466449121
50,-4.017964385427026
51,-4.017673411517184
52,-4.017392137011909
53,-4.0171202299848625
54,-4.016857284325762
55,-4.0166030316110595
56,-4.016357120364091
57,-4.016119246994567
58,-4.015889199178827
59,-4.0156665416241575
60,-4.015451121206233
61,-4.015242634263239
62,-4.0150407897457
63,-4.014845365602481
64,-4.014656200209634
65,-4.014473011494146
66,-4.01429551451006
67,-4.0141235542972264
68,-4.013956913346385
69,-4.013795413558864
70,-4.01363880827873
71,-4.013487012605138
72,-4.013339778308588
73,-4.013196944146605
74,-4.013058325201747
75,-4.012923778673215
76,-4.012793234728215
77,-4.012666439081419
78,-4.012543439345026
79,-4.012423963936441
80,-4.0123077974564065
81,-4.012195010154965
82,-4.012085399447859
83,-4.011978907077515
84,-4.011875378226841
85,-4.01177477849204
86,-4.011677017202537
87,-4.01158198619975
88,-4.011489561208004
89,-4.011399704974403
90,-4.011312352637182
91,-4.011227405884447
92,-4.011144782581004
93,-4.0110643874071155
94,-4.010986211028699
95,-4.010910110346935
96,-4.010836043471683
97,-4.0107640107367395
98,-4.010693833518911
99,-4.010625537352836
