,0
0,-44.676593302461704
1,-6.456590581910461
2,-5.507652879236487
3,-5.316612385040601
4,-5.297754344575689
5,-5.2921523227347995
6,-5.288307432853349
7,-5.284873121430111
8,-5.2816213708332596
9,-5.278522426381396
10,-5.275595416817092
11,-5.272871237473615
12,-5.270376943599741
13,-5.268129061112846
14,-5.266131870349573
15,-5.264378700499849
16,-5.262856216775084
17,-5.261550586190485
18,-5.260451123603626
19,-5.259547367337884
20,-5.258823216852868
21,-5.258255618895826
22,-5.257818275542712
23,-5.257485768383931
24,-5.257235743662534
25,-5.257049523900314
26,-5.256911978160125
27,-5.256811119812597
28,-5.256737625701327
29,-5.256684357371253
30,-5.256645922554765
31,-5.256618294838698
32,-5.256598497005073
33,-5.256584345703354
34,-5.256574250764985
35,-5.256567060664499
36,-5.256561945465508
37,-5.256558309337133
38,-5.256555725877157
39,-5.2565538907174885
40,-5.256552587043616
41,-5.2565516606566325
