,0
0,-38.61173139370141
1,-10.80324211037696
2,-8.937259684399855
3,-8.067707462245682
4,-7.957466836345513
5,-7.9345995947876045
6,-7.925826272378793
7,-7.921357469632845
8,-7.91869508750638
9,-7.916957269878292
10,-7.915767735025643
11,-7.914942667077068
12,-7.914374123461426
13,-7.913979153857974
14,-7.913691045776167
15,-7.9134617874154936
16,-7.913261563575914
17,-7.913076758495976
18,-7.912906432283943
19,-7.912755566553009
20,-7.912627983501533
21,-7.912523604415948
22,-7.912439652603591
23,-7.912372488573525
24,-7.912318535497486
25,-7.9122745045423075
26,-7.91223737736628
27,-7.912204373609962
28,-7.912173009618577
29,-7.912141333863428
30,-7.912108336771342
31,-7.912074274957145
32,-7.91204045863441
33,-7.912008422878385
34,-7.911979109773498
35,-7.911952681401787
36,-7.911928851167835
37,-7.9119072445241185
38,-7.911887537703634
39,-7.911869427030292
40,-7.911852565116966
41,-7.911836541564996
42,-7.91182091469738
43,-7.911805271694241
44,-7.911789297141795
45,-7.911772837139161
46,-7.911755944705267
47,-7.911738887061694
48,-7.9117220988865125
49,-7.911706085027898
50,-7.9116913031080305
51,-7.911678070176411
52,-7.911666524541234
53,-7.9116566436706055
54,-7.911648294827102
55,-7.911641290477689
56,-7.911635430841884
57,-7.9116305289341575
58,-7.911626421405636
59,-7.91162297069232
60,-7.911620062997777
61,-7.911617604865921
62,-7.911615519680266
63,-7.911613744588666
64,-7.911612227955173
65,-7.911610927290945
66,-7.91160980757997
67,-7.9116088399205795
